recipe_title,url,record_health,vote_count,rating,description,cuisine,course,diet,prep_time,cook_time,ingredients,instructions,author,tags,category
Pumpkin Creme Brulee Recipe,https://www.archanaskitchen.com/pumpkin-creme-brulee-recipe,good,632,4.8686708860759,"Crème Brulee which actually means ‘burnt cream’ is a rich custard topped with caramelised (burnt) sugar. The fancy sounding, elegant dessert is in fact very easy to make, but will make you look like a culinary genius!, with Pumpkin Creme Brulee Recipe. Silky, creamy custard topped with crunchy caramel makes this decadent dessert a crowd pleaser. Earthy pumpkin and warm spices enhance its flavour. Crème Brulee can be prepared ahead of time, making it an ideal party dessert after a meal of  ,  , or   and baguette bread. If you like this recipe, here are a few more party desserts you can also try",French,Dessert,Eggetarian,15 M,25 M,Heavy whipping cream|Brown Sugar (Demerara Sugar)|Egg yolks|Pumpkin pie spice|Sugar,"To begin making the Pumpkin Crème Brulee first preheat the oven to 160 deg C. If you do not have the pumpkin spice mix handy, grind a mix of nutmeg, cinnamon, dried ginger powder in equal quantity and use 1/4 spoon of it.|Whisk the egg yolks and 1/3 cup sugar in a heat proof bowl, with the help of a hand mixer.|Warm the cream in a heavy bottom pan/saucepan till the small bubbles just start appearing around the edge.|Add the pumpkin pie spice mix, stir and keep aside for 8-10 minutes to cool a bit.|Whisking continuously, gradually add the cream to the egg yolk mixture till it is fully incorporated.|Mix in the pumpkin puree.|Pour the mixture into about 8-9, 3 ounce (mini) ramekins (or 5-6 large ramekins).|Place them on cake pan or a roasting pan.|Pour hot water in the pan till it comes halfway up the sides of the ramekins.|Bake for about 20-25 minutes till the custard is almost set but is still wobbly in the centre. (Timing may change depending on the ramekin size and efficiency of the oven)|Carefully take out the ramekins from the oven and from the pan.|Cool on a wire rack for 10-12 minutes.|Refrigerate for at least 2 hours or up to 2-3 days (when you are making the brulee in advance.|Remove the crème brulee from the refrigerator for about 10-15 minutes before serving.|Spread 1 tablespoon sugar on top of each custard filled ramekin.|Using a blowtorch, melt and caramelise the sugar. You can alternatively broil the crème brulee in oven to caramelise the sugar.|Keep the creme brulee aside for 5 minutes before serving to get the crunchy top layer.|Serve Pumpkin Creme Brulee Recipe after a meal of |, |, or | and baguette bread.",Madhuli Ajay,Party Food Recipes|Pumpkin Recipes (Kaddu / Poosanikai)|French Cuisine Recipes,Dessert Recipes
Super Easy Eggless Banana Clafoutis Recipe,https://www.archanaskitchen.com/super-easy-eggless-banana-clafoutis-recipe,good,451,4.8847006651885,"Super Easy Eggless Banana Clafoutis Recipe is a Caramelized Bananas and vanilla custard flan recipe baked till golden and served with some dusted sugar on top. You can make these either in individual ramekins or in a larger fluted dish. Serve Super Easy Eggless Banana Clafoutis Recipe as a dessert after a filling meal of  ,   and  . If you like this recipe, try more recipes like",French,Dessert,Vegetarian,15 M,35 M,Ripe Bananas|Sugar|Custard powder|Butter (unsalted)|Milk|Confectioners sugar,"To begin making Super Easy Eggless Banana Clafoutis Recipe, dice peeled bananas into small circular thin pieces. Heat butter in a pan and add 3 tablespoons of sugar into it.|Once the sugar starts to being caramelised, add the sliced banana pieces and cook them for 5 minutes or till the time they are caramelised properly.|Arrange these caramelised banana pieces into two buttered ramekins and keep them aside.|Now take the custard powder into a cup and add 1/3 cup of milk into the cup.|Stir it well to make a thick paste.Heat up rest of milk and sugar to it,add custard powder paste into this milk and stir it continuously to save the milk from burning.|Cook for few minutes and turn off the heat. Next pour this custard over the caramelised bananas.|Preheat oven to 160 degrees C for about 10 minutes. |Transfer the ramekins into the oven and keep them on the middle rack.|Bake for 30 minutes or till the time the edges are puffed, top becomes golden brown and the centre is no longer runny.|Dust some powdered sugar and serve Super Easy Eggless Banana Clafoutis Recipe as a dessert after a filling meal of |, | and |.",Garima Gautam,Eggless Cake Recipes (Egg Free Cake)|Banana Recipes|Custard Recipes|Oven Baked Recipe,Dessert Recipes
Plum Galette Recipe With A Flaky Whole Wheat Pie Crust,https://www.archanaskitchen.com/plum-galette-recipe-with-the-best-tart-pie-crust,good,170,4.8823529411765,"The Plum Galette Recipe is a delectable dessert, that has sweetness, tartness and the crustiness of a dessert. This galette is one of the most simplest of the dessert pies you can make. All you need to master is the   that forms the crust of the pie. It has to be crisp and flaky and melt in the mouth. Serve the  Other recipes that you can try are:  ",French,Dessert,Vegetarian,15 M,90 M,Whole Wheat Flour|All Purpose Flour (Maida)|Salt|Chilled water|Plums|Corn flour|Caster Sugar|Vanilla Ice cream,"To begin making Plum Galette Recipe, we will first have to get the pie dough ready and refrigerate it for a couple of hours. |First get all the ingredients ready for the pie dough and get your butter cut into small pea size pieces.|In a large mixing bowl, combine the flour, salt, and sugar. Add the butter into the flour mixture.|Work the butter into the flour with your fingers until the mixture resembles a coarse meal. When you hold the flour together, it should hold tight and when you let it loose, it will fall apart.|Sprinkle ice water onto the flour and butter mixture. Using your hands push the dough from the sides to the middle of the bowl to form a ball that holds together.|Make sure to add little water at a time, as the heat from your hands will melt the butter and help form the dough as well.|You can transfer the pie dough on to a work surface and knead the dough until all the flour has come together to form a smooth dough.|Once done, wrap the dough in a cling film or a plastic wrap and refrigerate it for a couple of hours. This refrigeration process helps to give the pie crust a flaky texture.|Once refrigerated, we are now ready to roll the dough to form a crust.|Preheat the oven at 180 C and line a baking sheet with parchment paper or generously flour the baking sheet. Get the plums cut to the desired size and get the remaining ingredients ready.|Place the dough on a generously floured surface and roll the pie dough into a 11 to 12 inch round.|Transfer the pie dough into the baking sheet.  |In a mixing bowl, stir together the corn flour, sugar and plums. Spread this plum mixture evenly over the rolled out pie crust keeping the edges free for folding.|Once you have arranged the plums, fold the outer edge of the dough and cover part of the plums that are towards the edge. You can decorate the edges by pleating them, using the fold technique.|Place the Plum Galette into the preheated oven, loosely cover with an aluminum foil and bake for about 35 to 40 minutes. |After about 35 minutes, you will notice the plum is bubbling. At this stage, uncover the Plum Galette and bake in the open for another 5 to 8 minutes.|Once done and you notice the sides of the Galette is browned golden and crisp, remove from the oven. |Cool the Plum Galette, this process helps the plum mixture to become firm. |Serve the Plum Galette  along with whipped cream or vanilla ice cream as a party dessert.",Archana Doshi,Tart and Pie Recipes|Plum Recipes|Stone Fruit Recipes,Dessert Recipes
Kale Blue Cheese And Cranberry Quiche Recipe,https://www.archanaskitchen.com/kale-blue-cheese-and-cranberry-quiche,good,276,4.9710144927536,"Kale, Blue Cheese and Cranberry Quiche Recipe is a delicious and seasonal quiche that can be prepared real quick. Although rich in calories, the addition of cranberries, blue cheese and kale makes this dish delectably tempting. You can serve this Kale Blue Cheese And Cranberry Quiche Recipe with   or   (non-veg) for a zesty meal and end your meal with  . If you like this recipe, you can also try other quiche recipes like",French,Main Course,Eggetarian,20 M,30 M,Red onion|Kale|Cranberries|Blue cheese|Whole Eggs|Hung Curd (Greek Yogurt)|Salt and Pepper|Extra Virgin Olive Oil,"To begin making the Kale Blue Cheese and Cranberry Quiche Recipe preheat the oven to 180C.|Spread the puff pastry on an |.|Next, saute the onion and kale (spinach) in olive oil until they become soft and cooked.|Place the kale (spinach) mixture on top of the puff pastry in the dish, followed by the crumbled blue cheese and cranberries.|Finally, pour a mixture of egg and Greek yogurt (with added salt and pepper) over the pastries in the dish.|Bake Kale Blue Cheese and Cranberry Quiche in the oven at 180 C for 15-20 minutes, or until the quiche turns golden brown.|You can even garnish the Kale Blue Cheese and Cranberry Quiche with some crushed cashew nuts and serve warm as an appetiser or as a main course for parties, with | or | (non-veg) for a zesty meal and end your meal with |.",Archana's Kitchen,Party Food Recipes|Spinach Recipes (Palak/Keerai)|Quiche Recipes,Continental Food Recipes
Baked Whole Wheat Salsa Tart Recipe,https://www.archanaskitchen.com/baked-whole-wheat-salsa-tart-recipe,good,292,4.9349315068493,"The Baked Whole Wheat Salsa Tart Recipe is a very wholesome and yet delicious recipe of a tart that is made with a combination of a spicy mexican salsa, baked in a whole wheat flour tart crust and topped with cheese.   You can serve the    If you are looking to make tarts of various flavors for parties you must try our favorites -    ,   and ",French,Snack,Vegetarian,10 M,45 M,Whole Wheat Flour|Salt|Chilled water|Spring Onion (Bulb & Greens)|Red Bell pepper (Capsicum)|Tomatoes|Onion|Green Chillies|Cumin powder (Jeera)|Extra Virgin Olive Oil|Mozzarella cheese|Salt,"To begin making Baked Whole Wheat Salsa Tart Recipe, we will first have to get the pie dough ready and refrigerate it for a couple of hours.|First get all the ingredients ready for the pie dough and get your butter cut into small pea size pieces.|In a large mixing bowl, combine the flour, salt, and sugar. Add the butter into the flour mixture.|Work the butter into the flour with your fingers until the mixture resembles a coarse meal. When you hold the flour together, it should hold tight and when you let it loose, it will fall apart.|Sprinkle ice water onto the flour and butter mixture. Using your hands push the dough from the sides to the middle of the bowl to form a ball that holds together.|Make sure to add little water at a time, as the heat from your hands will melt the butter and help form the dough as well.|You can transfer the pie dough onto a work surface and knead the dough until all the flour has come together to form a smooth dough.|Once done, wrap the dough in a cling film or a plastic wrap and refrigerate it for a couple of hours. This refrigeration process helps to give the pie crust a flaky texture.|Once refrigerated, we are now ready to roll the dough to form a crust.|Preheat the | at 180 C.|Place the dough on a generously floured surface and roll the pie dough into a 9 inch round.|Transfer the pie dough into the | and press it down to fit the dough into pie pan from the sides as well. If there is an excess dough, remove it.|Fork the crust all around so that it does not puff up when baking. We will now pre-bake the tart crust.|Place the tart pan in the oven and bake for about 8 to 10 minutes until you notice the crust is turning golden. Once you notice the crust is turning golden, remove from the oven and keep aside.|In a large mixing bowl, combine all the ingredients except the cheese. Check the salt and spice and adjust to suit your taste.|Pour this Salsa mixture into the prepared tart crust, spread the mozzarella cheese on the top and place it in the oven to make. Bake for about 5 minutes until the cheese melts. |Once the cheese melts, the Baked Whole Wheat Salsa Tart is ready. Remove from the oven and wait for a few minutes before cutting it to serve.|Serve the Baked Whole Wheat Salsa Tart along with a glass of wine as an appetizer for your parties.",Madhu  Parwani ,Tea Party Recipes|Party Starter & Appetizer Recipes|Tart and Pie Recipes|Vivatta Recipe Contest 2016,Continental Party Appetizer & Starter Recipes
Cardamom Macaroons Recipe,https://www.archanaskitchen.com/cardamom-macaroons-recipe,good,1613,4.8704277743335,"The sweetness of the chocolate ganache filling and the mild flavours of cardamom blended in perfect harmony to create a delightful treat! Serve Cardamom Macaroons along with hot  as a tea time snack.  If you like this recipe, you can also try other Macaroon recipe such as",French,Snack,Vegetarian,10 M,60 M,Confectioners sugar|Egg whites|Sugar|Cardamom Powder (Elaichi)|Food Color|Chocolate Bar|Double Cream|Butter (unsalted)|Vanilla Extract,"To begin making the Cardamom Macaroons recipe, in a food processor, process the almond flour, cardamom powder and icing sugar. |Sift the mixture in sieve twice discarding any almond lumps that are too big to pass through the sieve.|Whisk the egg whites in clean dry bowl (no trace of water please) till soft peaks are formed. Add the caster sugar, and beat on a low speed. Once combined increase the speed to high and whisk till glossy and stiff peaks are formed (For me, it took 5 minutes on stand mixer on a high speed). |Add the food colour and beat for 25-30 seconds. Please make sure not to over beat the egg whites.|Sift the flour mixture over the whites and fold gently using a flexible spatula. You need a smooth and shinny mix.  |Do not make the batter too runny or the macaroons won’t rise as they should. When you lift the batter up and let it drop down, it should slowly disappear into itself without leaving a peak.|Transfer the batter to a pastry bag fitted with a 1/2-inch plain round tip. On a parchment-lined baking sheet or Macaron mat and pipe the 3/4 inch rounds leaving 1-2 inch gap between each piping.|Drag the pastry tip to the side of rounds rather than forming peaks. Tap bottom of each sheet on work surface to release trapped air.|Allow the piped macarons to stand on a room temperature for 30-45 minutes.  |The stand time varies with temperature at different places. What you need is the piped macarons to form a very thin, smooth crust, when you tap it lightly with your finger, the batter will not stick to your finger.|Pre-heat the oven to 375 F. Reduce oven temperature to 325 degrees. Bake 1 sheet at a time, rotating halfway through, until macarons are crisp and firm, about 10 minutes. |After each batch, increase oven temperature to 375 degrees, heat for 5 minutes, then reduce to 325 degrees.|Let macarons cool on sheets for 2 to 3 minutes, and then transfer to a wire rack. If macarons stick, spray water underneath parchment on hot sheet. The steam will help release macarons.|When fully cooled, Sandwich 2 same size macarons with the filling of your choice.|The next step is to make the chocolate ganache. Heat cream in saucepan over medium-low heat until it comes to a boil. |Turn off the heat and add the chocolate and use a spatula or wooden spoon stir in a circular motion from the centre of the bowl until the chocolate and cream comes together into a smooth emulsion. |Add the butter and essence and stir will. Let it cool at room temperature and the in fridge until firm enough to pipe.|Serve Cardamom Macaroons along with hot |as a tea time snack.",Rekha Vengalil,Festival Recipes|Tea Party Recipes|Picnic Recipe Ideas|Cardamom Recipes|macaroon recipes,Cookie & Biscuit Recipes
Broccoli Quiche Recipe (with Eggless option),https://www.archanaskitchen.com/eggless-broccoli-quiche,good,2091,4.8665710186514,"The Broccoli Quiche recipe is a nutritious and wholesome recipe that uses broccoli. This recipe has a perfect blend of the traditional French recipe is made without eggs (eggless). This recipe of the vegetarian quiche makes it perfect for the vegetarian and eggless food lovers. In French cuisine, a quiche is a baked dish that is based on a custard made from eggs and milk or cream in a pastry crust. Quiche can be eaten warm but is more commonly eaten cold, making it a suitable component of the food served in a typical summer picnic. Serve Broccoli Quiche Recipe along with a sandwich like   during tea time. If you like this recipe, here are a few more similar recipes to try",French,Snack,Vegetarian,30 M,100 M,Garlic|Broccoli|Red Bell pepper (Capsicum)|Nutmeg|Red Chilli flakes|Cheddar cheese|Parmigiano reggiano cheese|Extra Virgin Olive Oil,"To begin making the Broccoli Quiche recipe, you will first have to prepare the crust for the quiche. Use this recipe of | to make the crust base. Prepare a 9-inch (2-inch-deep) round pie/tart pan with removable bottom.|Preheat the oven to 180 C. |Roll out pie dough on a lightly floured surface with a lightly floured rolling pin into a 13-inch round. Fit dough into pie plate, letting excess hang over edge. Fold overhang inward and press against side of pie plate to reinforce edge. Prick bottom all over with a fork. Chill until firm, about 30 minutes.|After 30 minutes of refrigeration, bake the pie dough in the preheated oven until pie is set and edge is pale golden in color - about 20 - 25 minutes.|While the pie crust is baking in the oven, we will make the broccoli filling.|Heat a tablespoon of olive oil in a wok; stir fry the red bell peppers and the garlic until the peppers are roasted and lightly soft. Next add in the half way while the peppers are roasting. Stir fry the broccoli until just about tender, but still firm.  |Now we will make the white sauce for the quiche; whisk together bechamel sauce, sun dried tomatoes, nutmeg, red chilli flakes and salt in a large bowl until smooth. |Once the pie shell has been bakes until golden, remove from the oven and pour white sauce filling into the pre baked pie shell. Add in broccoli, then sprinkle with cheeses on the top.|Place the Broccoli Quiche back into the oven and bake until the quiche custard is ser and the cheese has a golden crust on the top. The centre will be shaky but it will continue to set as the quiche cools.|Once done, remove from the oven. Serve the Eggless Broccoli Quiche hot along with Tabasco sauce and a glass of wine along with a sandwich like | for snacks.",Archana Doshi,Healthy Recipes|Broccoli Recipes|Sundried Tomato Recipes|Quiche Recipes,Continental Food Recipes
Breakfast Potato Quiche with Tender Corn,https://www.archanaskitchen.com/breakfast-potato-quiche-with-tender-corn,good,504,4.6686507936508,"Breakfast Potato Quiche is a perfect breakfast recipe where the crust of the quiche is made from potatoes and filled with creamy corn. The potato quiche makes a perfect recipe when you are calling people over for breakfast or a cozy sunday brunch. Serve it with some fresh juice of watermelon, orange and pomegranates or   for breakfast. If you like to know more quiche recipe, here they are",French,Snack,Vegetarian,20 M,35 M,Potatoes (Aloo)|Whole Black Peppercorns|Milk|Whole Wheat Flour|Baking powder|Sweet corn|Cayenne Pepper|Coriander (Dhania) Leaves|Cheddar cheese|Salt,"To begin making the Breakfast Potato Quiche with Tender Corn, preheat oven to 200 C.|Gently press the grated potatoes between paper towels to dry them as best as possible. In a 9-inch pie plate, toss the potatoes with the melted butter, salt and pepper. Stir to combine well.|Press the potatoes into the bottom of the pan and up the sides to form a crust. Bake in the preheated oven for 30 -35 minutes until golden brown and sides of the potato crust start to crisp.|Mean while, in a sauce pan, whisk the whole wheat flour, milk, salt and cayenne pepper. Place the pan on medium heat and begin to cook the sauce, stirring continuously until thickened.|Stir in the baking powder at this stage and whisk until well blended. Turn off heat and add the steamed corn and stir.|When the hash brown potato crust is ready pour the corn mixture over it, sprinkle the cheese and return to the oven.|Lower the oven temperature to 180 C and bake for about 15 to 10 minutes until the cheese is light golden brown on top.|Serve the Breakfast Potato Quiche with a tall glass of freshly made fruit juice like | and toast for breakfast.",Archana Doshi,Healthy Recipes|Aloo Recipes (Potato & Baby Potato Recipes)|Breakfast Recipe Ideas|Quiche Recipes|Sweet Corn Recipes,Continental Breakfast Recipes
Bacon Quiche Tart Recipe,https://www.archanaskitchen.com/bacon-quiche-tart-recipe,good,121,5.0,"Crisp shortcrust pastry, creamy egg and cream filling and smoky bacon make this Bacon Quiche Tart a dream come true.Quiche are delicacy from france which are usually eaten during the breakfast time, the basic quiche recipe is with a egg custard and flavoured with some herbs and onions and leeks.  Perfect to be served with evening tea or  for a light meal this tart is a winner all the way through. It can also be had with a cup of   as a drink to quench your thirst.  Have a look at more of our tart recipes worth drooling for",French,World Breakfast,Non Vegeterian,10 M,90 M,All Purpose Flour (Maida)|Salt|Lemon juice|Whole Egg|Onion|Bacon strips|Garlic|Whole Eggs|Egg yolks|Fresh cream|Cheese|Parsley leaves|Black pepper powder|Salt,"To prepare Bacon Quiche Tart Recipe, get prep with all the ingredients first.|For making the pastry, add butter, flour and salt in a | and pulse until mixture resembles breadcrumbs. This will take 2-3 minutes.|Add egg and lemon juice and process until mixture forms a ball. Turn onto a floured bench and gently knead to bring the dough together. Do not over knead as it will result in tough pastry.|Wrap in cling wrap and chill for at least 30 minutes.|To make the filling, melt half the butter in a frying pan.|Add onion and cook till they are translucent. Add garlic and cook further for 1 minute. Remove from heat and transfer to a bowl.|Melt remaining butter in the same pan, add bacon and caramelize it slightly, stirring occasionally.|Add to the onions and stir to combine.|Preheat | to 200 degree Celsius.|Lightly grease an | or |.|Roll pastry dough to 2-3mm thickness. Use dry flour or baking sheet if it is tough to roll otherwise.|Gently ease into the prepared tart tin, pressing it into the edges of the tin. Trim the extra sides with a sharp knife and prick the base using a fork.|Lay a sheet of baking paper over the base and fill with rajma or chana and blind bake pastry for 15-20 minutes or until golden.|Remove from oven, remove the beans along with the baking paper and return to the oven for 5 minutes to crisp.|Whisk together cream, eggs and yolks in a bowl. Season with salt and pepper.|Fill the base of the blind baked pastry shell with onion & bacon mixture, sprinkle half the cheese and then pour over egg mixture and top with the rest of the cheese.|Bake for 15 minutes and then reduce temperature to 160 degree Celsius and bake until set for about 5 minutes.|Serve Bacon Quiche Tart warm with a salad for a complete meal or as it is for tea-time snack or |for a light meal this tart is a winner all the way through. It can also be had with a cup of | as a drink to quench your thirst.",Monika Manchanda,Tea Party Recipes|Quiche Recipes,Dessert Recipes
Crepes Filled With Apples & Topped With Orange Sauce,https://www.archanaskitchen.com/crepes-filled-with-apples-topped-with-orange-sauce,good,179,4.9664804469274,"The classic French Crepes filled with sweet and spiced caramelised apple filling and a glossy sweet and tangy orange sauce makes these crepes simply irresistible. Crepe is a French word for pancakes. Crepes are very thin pancakes that can be folded easily. It has a soft melt in mouth texture due to the use of eggs, butter and milk. Thick orange sauce with a nice glossy texture poured over stuffed hot pancakes makes these thin crepes make it very delicious and irresistible. Treat your loved ones with this special breakfast for those special occasions. Serve the Crepes Filled With Apples & Topped With Orange Sauce for a weekend breakfast, along with some   and a cup of hot coffee. If you like an European Breakfast, then you might also like to try a few of our favorites like ",French,Dessert,Vegetarian,10 M,60 M,All Purpose Flour (Maida)|Whole Eggs|Milk|Baking powder|Salt|Sugar|Apples|Cinnamon Powder (Dalchini)|Brown Sugar (Demerara Sugar)|Fresh orange juice|Sugar,"To begin making the Apple Crepes Topped with Orange Sauce Recipe, remove the skin on the apples and chop them into small pieces. Place them in a |, add brown sugar, cinnamon powder mix well. Let it rest for about 30 minutes.|Once the apples have tested, the next step is to caramelize them.|Heat a | over medium heat and add the spiced apples. Cook the apples on low heat for about 15 minutes or until the apples start to caramelize and become slightly softened.|The next step is to make the crepe batter. In a |, whisk together all the ingredients mentioned under the list for crepes. Whisk until you have a smooth batter without lumps. You need to have a thick easy pouring consistency of the batter. Set the crepe batter aside until we prepare the orange sauce.|For the orange sauce, add orange juice, butter and sugar in a | and heat it until it begins to boil. Once it begins to boil, turn the heat to low and allow the orange sauce to simmer until the sauce reduces to half its quantity, making sure to keep stirring at regular intervals.|Once the sauce thickens up, turn off the heat and strain any residue and keep the orange sauce aside.|The final step is now to make the crepe.|Preheat a | and pour a ladleful of batter on the hot pan and slowly spread the batter into perfect circle by swirling the pan around. The crepes get cooked in seconds. Once you notice the top is cooked, flip over and cook on the other sides for a few seconds and remove from the pan. |Place the crepe on a serving platter, add the caramelized apples in the center and roll the crepes keeping the apples in the center. Repeat the above steps for rest of the batter.|Once done place the crepes on serving plate. Pour orange sauce and serve immediately.|If you prefer you can dust some icing sugar on top or even serve it with a scoop of vanilla ice cream.|Serve the Crepes Filled With Apples & Topped With Orange Sauce for a weekend breakfast, along with some | and a cup of hot coffee.",Jyothi Rajesh,Tea Party Recipes|Crepe Recipes|Apple Recipes|French Cuisine Recipes,Crepe Recipes
French Toast Recipe With Oven Roasted Streaky Bacon,https://www.archanaskitchen.com/french-toast-recipe-with-oven-roasted-streaky-bacon,good,275,4.9709090909091,"French toast is the most loved toast by kids and adults. Top it with your favorites like roasted streaky bacon and you have the most amazing breakfast dish ready. One the most popular topping on French toast is bacon, here we are doing oven roasted streaky bacon over the French toast along with fresh cut fruits to make French Toast Recipe With Oven Roasted Streaky Bacon. Do not forget to drizzle maple syrup over the top, or honey could work too. Saltiness from bacon, sweetness from honey it’s a perfect combo for a breakfast with French Toast Recipe With Oven Roasted Streaky Bacon served with a tall glass of fresh orange juice. Here are few more French breakfast ideas",French,World Breakfast,Non Vegeterian,5 M,15 M,Whole Eggs|Fresh cream|Milk|Sugar|Salt|Maple syrup|Bacon strips|Ripe Bananas,"To prepare French Toast Recipe With Oven Roasted Streaky Bacon, in a bowl, whisk egg, cream, milk, sugar and salt to form the custard mix.|Heat a griddle/tawa.|Pour the custard mix on a flat plate. Place the bread slice on the custard and let it sit for about 20 seconds, flip over and wait for another 20 seconds.|Now heat butter in a pan. Place the bread slice soaked in milk-cream-egg mix and cook it on medium flame.|Flip over and cook until both sides are toasted well and browned.|Roast bacon strips in preheated oven for about 4 to 7 minutes at 150 degree centigrade.|Place the French toast on serving plate.|Drizzle maple syrup/honey. Place cut fruits on top and then top it with bacon. Serve French Toast Recipe immediately with Oven Roasted Streaky Bacon served with a tall glass of fresh orange juice.",Jyothi Rajesh,Bacon Recipes,Toast Recipes
French Style Red Sorrel Two Bean Soup Recipe,https://www.archanaskitchen.com/french-style-red-sorrel-two-bean-soup-recipe,good,478,4.9309623430962,"Red Veined sorrel leaves are the base for this delicious Bean Sorrel Soup. This is a nutritious 2 Bean Sorrel soup as it is made from fresh sorrel leaves, french beans and black eyed peas. This is a very tasty lemony soup. Potatoes are usually added to Sorrel soup, however I have not done so. Instead I have included in the ingredients, fennel and celery to give a bit of body to the soup, and tarragon and parsley for flavour and nutrition. As it is made in the French style, there is butter and cream too. Did You Know- The nutrient and health properties of sorrel are numerous. Sorrel is rich in vitamin C and was of great value as it could prevent scurvy at times when fresh fruits and vegetables were not available. It contains Vitamins A, E, Beta carotene and other carotenoids, as well as potassium which helps in lowering Blood pressure. It is said to have anti inflammatory properties as well as being a diuretic. Sorrel is used medically for reducing pain and swelling or inflammation of the nasal passages and the respiratory tract, as it is said to cause dryness in mucous production and is therefore popular along with other herbs and flowers in treating sinusitis. It is also used to supplement the medication in the treatment of bacterial infections. Sorrel is not advised for consumption by those suffering from arthritis, kidney stones, other kidney related diseases, and during pregnancy. Serve French Style Red Sorrel Two Bean Soup along with   for a weeknight dinner. If you like this recipe, you can also try other soup recipes such as",French,Dinner,High Protein Vegetarian,10 M,30 M,Extra Virgin Olive Oil|Butter (unsalted)|Red onion|Fennel bulb|Leek|French Beans|Celery|Sorrel Leaves (Gongura)|Salt|Black pepper powder|Tarragon|Parsley leaves|Black Eyed Beans (Lobia)|Fresh cream,"To begin making French Style Red Sorrel Two Bean Soup Set all the ingredients ready to prepare. Check that the butter is at room temperature.|If the black eyed beans are not cooked, pressure cook for 2 whistles with enough water to just cover the beans, and add a little salt before setting it on the stove.|Drain when done and keep aside till required. Separate sorrel leaves from stalks, and slice away any thick mid vein.|Wash and drain the sorrel and shred the leaves. Wash, trim and mince leek and fennel. Thinly slice onion and beans, wash and mince tarragon and parsley.|Heat a thick bottomed pan and add the olive oil. Heat on low flame till it is warm but not smoking.|Add butter, let it melt. Add onion, sauté.|Add fennel and leek slices, sauté for about 5 minutes on low flame, stirring frequently so they do not brown.|Add sliced french beans, sauté for 5 minutes on low flame, stirring frequently so the vegetables do not brown.|Add celery slices, saute. Add the stock, bring it to a boil and then reduce the flame to low so the stock simmers.|Add the sorrel leaves, bring once more to a boil and then simmer for about 10 minutes on low flame.|Add the seasoning (salt and pepper) and stir.|Add the cooked black eyed peas, stir and let it cook for 2-3 minutes. Add minced parsley and tarragon, stir.|Add the cream after reserving about 2 tablespoons for garnish, and stir, keeping the stove on low flame.|Serve French Style Red Sorrel Two Bean Soup along with | for a weeknight dinner.",Sujata Shukla,Winter Recipes|Monsoon Recipes,Soup Recipes
Low Fat Fruit Parfait Recipe (No Bake French Dessert Recipe),https://www.archanaskitchen.com/low-fat-fruit-parfait-zero-cook-french-dessert,good,358,4.8240223463687,"Parfait in French means perfect, and what could be more perfect than a dessert that is healthy, calcium rich & an energy booster too. Parfaits are arranged as a mixture of fruits, granola / muesli and yogurt. To make it a little more healthy, I used hung curd and the texture was super smooth. The crunch from the cornflakes added to the texture of the dish, which by itself was very colorful and appealing. Go wild with whatever you have available and discover newer combos from your fruit platter.  This Low Fat Fruit Parfait can be served as a Healthy breakfast dish or an after dinner dessert. Other Parfait recipes that you can try are:",French,World Breakfast,Vegetarian,25 M,0 M,Apple|Musk Melon|Orange|Fresh Cherries|Ripe Bananas|Hung Curd (Greek Yogurt)|Jam|Corn flakes|Honey|Fresh Cherries|Mint Leaves (Pudina),"To start the preparation of Low Fat Fruit Parfait , chill the serving glass before assembling the dish.|Make a layer of the hung curd (you can alternatively use thick flavored yogurt too).|Top it with the melted jam.Arrange the chopped fruits on this jam layer.|Drizzle honey on the fruits and top it with crushed cornflakes and top with glazed cherries and mint.|This Low Fat Fruit Parfait can be served as a Healthy breakfast dish or an after dinner dessert.",Kalyani Srinath,Healthy Recipes|Breakfast Recipe Ideas|Apple Recipes|Quick & Easy Recipes,Parfait Recipes
